City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,pisco,-13.7,-76.2167,19.03,68,0,8.23,PE,1717449307
275,afaahiti,-17.75,-149.2833,28.93,79,100,5.42,PF,1717449307
276,saint-affrique,43.9558,2.8892,15.99,95,5,1.26,FR,1717449307
277,marsh harbour,26.5412,-77.0636,26.28,73,16,5.46,BS,1717449307
278,ancud,-41.8697,-73.8203,7.33,88,100,3.74,CL,1717449308
279,poronaysk,49.2167,143.1167,5.96,86,100,1.22,RU,1717449308
280,baiyin,36.5583,104.2081,13.59,71,100,6.74,CN,1717449308
281,colonia,50.9333,6.95,16.08,77,100,2.06,DE,1717449150
282,gewane,10.1664,40.6453,33.92,19,4,2.67,ET,1717449308
283,callao,-12.0667,-77.15,19.16,63,0,5.14,PE,1717449159
284,yanda bayo,11.5071,10.7459,33.92,27,75,3.68,NG,1717449308
285,vedaraniyam,10.3667,79.85,28.63,84,100,8.15,IN,1717449309
286,ustyuzhna,58.8394,36.4321,17.33,91,92,2.51,RU,1717449309
287,saint-philippe,-21.3585,55.7679,19.77,77,35,3.92,RE,1717449309
288,garoowe,8.4054,48.4845,31.06,41,100,7.76,SO,1717449309
289,hope mills,34.9704,-78.9453,27.13,88,100,5.66,US,1717449103
290,birbhaddar,30.0667,78.2833,28.44,22,0,3.09,IN,1717449309
291,paciran,-6.8767,112.3761,24.65,87,100,3.94,ID,1717449310
292,mae ramat,16.984,98.5166,23.61,99,100,1.05,TH,1717449310
293,keflavik,64.0049,-22.5624,5.95,65,75,10.29,IS,1717449310
294,yaiza,28.9633,-13.7631,19.87,60,75,4.63,ES,1717449310
295,mossel bay,-34.1831,22.146,14.96,82,100,6.54,ZA,1717449310
296,urangan,-25.3,152.9,10.67,80,70,1.34,AU,1717449310
297,francistown,-21.17,27.5079,11.7,18,0,3.97,BW,1717449310
298,fallon,39.4735,-118.7774,26.93,34,75,7.72,US,1717449310
299,broome,42.2506,-75.833,26.92,64,100,2.06,US,1717449311
300,preobrazheniye,42.9019,133.9064,9.1,91,89,1.82,RU,1717449311
301,sterling,39.0062,-77.4286,29.77,59,75,3.09,US,1717449276
302,codrington,-38.2667,141.9667,6.87,89,100,2.4,AU,1717449311
303,trincomalee,8.5711,81.2335,28.21,74,100,6.95,LK,1717449310
304,dolores,-36.3132,-57.6792,7.27,61,21,1.99,AR,1717449311
305,bontang,0.1333,117.5,25.84,88,100,4.32,ID,1717449311
306,smithers,54.7804,-127.1743,14.18,67,75,1.54,CA,1717449311
307,crookston,47.7741,-96.6081,21.95,64,100,1.54,US,1717449311
308,nadi,-17.8,177.4167,26.0,57,40,3.09,FJ,1717449311
309,akureyri,65.6835,-18.0878,0.96,100,100,11.32,IS,1717449311
310,los santos de maimona,38.45,-6.3833,22.58,49,37,4.54,ES,1717449312
311,makassar,-5.14,119.4221,25.03,100,20,1.03,ID,1717449099
312,padang,-0.9492,100.3543,27.03,86,82,1.78,ID,1717449312
313,zemio,5.0314,25.1361,22.95,80,87,1.59,CF,1717449069
314,el granada,37.5027,-122.4694,26.05,86,100,10.29,US,1717449312
315,chongwe,-15.3292,28.682,17.7,50,0,1.41,ZM,1717449312
316,saint-pierre,-21.3393,55.4781,19.82,60,75,3.6,RE,1717449312
317,nemuro,43.3236,145.575,7.18,95,100,3.71,JP,1717449312
318,senillosa,-39.0,-68.4167,9.88,39,100,7.37,AR,1717449312
319,ust'-barguzin,53.45,108.9833,6.3,95,68,0.85,RU,1717449313
320,krasnyy oktyabr',56.1167,38.8833,16.86,94,10,2.56,RU,1717449313
321,karoi,-16.8099,29.6925,17.38,53,0,1.2,ZW,1717449313
322,onega,63.9061,38.1404,14.62,98,98,2.58,RU,1717449313
323,darwin,-12.4611,130.8418,21.99,81,15,1.54,AU,1717449313
324,chebarkul',54.9749,60.3633,12.53,97,26,2.39,RU,1717449313
325,aydarken,39.9443,71.3429,8.74,81,100,5.22,KG,1717449313
326,pierre,44.3683,-100.351,29.92,36,0,8.23,US,1717449185
327,okondja,-0.6549,13.6753,23.68,90,13,1.13,GA,1717449314
328,antsiranana,-12.2787,49.2917,23.95,79,71,7.67,MG,1717449314
329,paracuru,-3.41,-39.0306,28.95,87,51,4.03,BR,1717449071
330,federacion,-31.0062,-57.8996,11.44,76,1,4.0,AR,1717449018
331,bengkulu,-3.8004,102.2655,24.28,91,99,1.82,ID,1717449084
332,oyem,1.5995,11.5793,21.4,98,98,1.29,GA,1717449314
333,sambava,-14.2667,50.1667,22.12,85,24,5.8,MG,1717449314
334,tete,-16.1564,33.5867,23.42,42,0,1.18,MZ,1717449315
335,bridgewater,44.3835,-64.5155,18.39,75,73,1.03,CA,1717449236
336,jucurutu,-6.0339,-37.0203,28.95,58,96,6.55,BR,1717449315
337,yelwa,8.8333,9.6333,28.52,67,79,3.15,NG,1717449315
338,kapuskasing,49.4169,-82.4331,26.0,31,100,5.66,CA,1717449315
339,aasiaat,68.7098,-52.8699,0.14,72,0,6.7,GL,1717449315
340,chahar burj,34.2448,62.1917,24.38,22,0,6.88,AF,1717449315
341,tianpeng,30.9866,103.9393,17.26,88,100,2.59,CN,1717449315
342,aketi,2.7388,23.7833,23.74,87,73,0.62,CD,1717449315
343,strezhevoy,60.7333,77.5889,1.09,78,5,2.68,RU,1717449211
344,cardigan,52.0847,-4.6591,14.96,91,12,0.9,GB,1717449315
345,fuyu,45.1833,124.8167,15.68,85,31,2.28,CN,1717449316
346,sumbawa besar,-8.5,117.4333,22.94,92,98,1.89,ID,1717449316
347,kangding,30.0513,101.9603,11.87,99,100,1.17,CN,1717449316
348,tateyama,34.9833,139.8667,16.86,83,34,4.63,JP,1717449316
349,arteche,12.2645,125.4048,24.97,92,100,1.56,PH,1717449316
350,labytnangi,66.6572,66.4183,0.21,82,75,2.07,RU,1717449316
351,laguna,38.421,-121.4238,29.74,51,0,5.66,US,1717449316
352,sao joao da barra,-21.6403,-41.0511,23.05,85,0,4.94,BR,1717449316
353,amga,60.8953,131.9608,10.48,52,22,4.16,RU,1717449317
354,singkil,-7.9855,111.4161,23.09,94,69,2.37,ID,1717449317
355,la villa del rosario,10.3258,-72.3134,36.02,44,100,1.48,VE,1717449317
356,essaouira,31.5125,-9.77,18.41,93,0,5.01,MA,1717449132
357,zhanaozen,43.3,52.8,24.83,32,33,3.84,KZ,1717449317
358,conde,-7.2597,-34.9075,23.7,100,75,4.12,BR,1717449051
359,horta,38.5333,-28.6333,18.9,83,20,3.6,PT,1717449303
